id,age,season
01,Z,1992SS
02,S,1992AW
03,0,1993SS
04,P,1993AW
05,T,1994SS
06,V,1994AW
07,B,1995SS
08,E,1995AW
09,F,1996SS
10,G,1996AW
11,U,1997SS
12,I,1997AW
13,J,1998SS
14,Y,1998AW
15,C,1999SS
16,N,1999AW
17,B,2000SS
18,T,2000AW
19,X,2001SS
20,V,2001AW
21,E,2002SS
22,M,2002AW
23,Q,2003SS
24,U,2003AW
25,H,2004SS
26,J,2004AW
27,S,2005SS
28,N,2005AW
29,R,2006SS
30,B,2006AW
31,T,2007SS
32,X,2007AW
33,M,2008SS
34,E,2008AW
35,V,2009SS
36,Z,2009AW
37,J,2010SS
38,C,2010AW
39,O,2011SS
40,P,2011AW
41,B,2012SS
42,D,2012AW
43,X,2013SS
44,Q,2013AW
45,G,2014SS
46,F,2014AW
47,U,2015SS
48,Y,2015AW
49,O,2016SS
50,R,2016AW
51,D,2017SS
52,K,2017AW
53,W,2018SS
54,V,2018AW
55,I,2018AW PRE
56,F,2018AW(追加)
57,H,2019SS
58,Z,2019SS
